00:00:01:00 llegaAuto ?
00:00:02:00 llegaAuto ?
00:00:03:00 llegaAuto ?
00:00:04:00 llegaAuto ?
00:00:05:00 llegaAuto ?
00:00:06:00 llegaAuto ?
00:00:07:00 llegaAuto ?
00:00:08:00 llegaAuto ?
00:00:09:00 llegaAuto ?
00:00:10:00 llegaAuto ?
00:00:11:00 llegaAuto ?
00:00:12:00 llegaAuto ?
00:00:13:00 llegaAuto ?
00:00:14:00 llegaAuto ?
00:00:15:00 llegaAuto ?
00:00:16:00 llegaAuto ?
00:00:17:00 llegaAuto ?
00:00:18:00 llegaAuto ?
00:00:19:00 llegaAuto ?
00:00:20:00 llegaAuto ?
00:00:21:00 llegaAuto ?
00:00:22:00 llegaAuto ?
00:00:23:00 yaSalio ?
00:00:24:00 yaSalio ?
00:00:25:00 yaSalio ?
00:00:26:00 yaSalio ?
00:00:27:00 yaSalio ?
00:00:28:00 yaSalio ?
00:00:29:00 yaSalio ?
00:00:30:00 yaSalio ?
00:00:31:00 yaSalio ?
00:00:32:00 yaSalio ?
00:00:33:00 yaSalio ?
00:00:34:00 yaSalio ?
00:00:35:00 yaSalio ?
00:00:36:00 yaSalio ?
00:00:37:00 yaSalio ?
00:00:38:00 yaSalio ?
00:00:39:00 yaSalio ?
00:00:40:00 yaSalio ?
00:00:41:00 yaSalio ?
00:00:42:00 yaSalio ?
00:00:43:00 yaSalio ?
